County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Bronx,10461,X722,Public School,No,74.0,0.0,74.0,0.0,"(40.842725, -73.839114)"
Bronx,10462,X083,Public School,No,93.0,0.0,93.0,0.0,"(40.849176, -73.858769)"
Bronx,10462,X105,Public School,No,84.0,0.0,84.0,0.0,"(40.853075, -73.866264)"
Bronx,10462,X106,Public School,No,183.0,0.0,183.0,0.0,"(40.836974, -73.854823)"
Bronx,10462,X127,Public School,No,74.0,0.0,74.0,0.0,"(40.838759, -73.853203)"
Bronx,10462,X194,Public School,No,197.0,0.0,197.0,0.0,"(40.835410, -73.846594)"
Bronx,10462,X292,Public School,No,112.0,0.0,112.0,0.0,"(40.854423, -73.863733)"
Bronx,10462,X498,Public School,No,122.0,0.0,122.0,0.0,"(40.845023, -73.857989)"
Bronx,10462,X839,Public School,No,51.0,0.0,51.0,0.0,"(40.851577, -73.864438)"
Bronx,10462,X981,Public School,No,105.0,0.0,105.0,0.0,"(40.849176, -73.858769)"
Bronx,10463,X007,Public School,No,76.0,0.0,76.0,0.0,"(40.881562, -73.905697)"
Bronx,10463,X024,Public School,No,117.0,0.0,117.0,0.0,"(40.886922, -73.915114)"
Bronx,10463,X095,Public School,No,145.0,0.0,145.0,0.0,"(40.883049, -73.891664)"
Bronx,10463,X122,Public School,No,126.0,0.0,126.0,0.0,"(40.872477, -73.905547)"
Bronx,10463,X141,Public School,No,146.0,0.0,146.0,0.0,"(40.887407, -73.914141)"
Bronx,10463,X143,Public School,No,122.0,0.0,122.0,0.0,"(40.875636, -73.901565)"
Bronx,10463,X360,Public School,No,108.0,0.0,108.0,0.0,"(40.874717, -73.902214)"
Bronx,10463,X368,Public School,No,178.0,0.0,178.0,0.0,"(40.877935, -73.913694)"
Bronx,10463,X432,Public School,No,61.0,0.0,61.0,0.0,"(40.860601, -73.891838)"
Bronx,10463,X475,Public School,No,181.0,0.0,181.0,0.0,"(40.877379, -73.912686)"
Bronx,10463,X476,Public School,No,3.0,0.0,3.0,0.0,"(40.877379, -73.912686)"
Bronx,10463,X822,Public School,No,34.0,0.0,34.0,0.0,"(40.872477, -73.905547)"
Bronx,10463,X842,Public School,No,18.0,0.0,18.0,0.0,"(40.883588, -73.890382)"
Bronx,10464,X175,Public School,No,53.0,0.0,53.0,0.0,"(40.844353, -73.783540)"
Bronx,10465,X072,Public School,No,115.0,0.0,115.0,0.0,"(40.823237, -73.818172)"
Bronx,10465,X101,Public School,No,128.0,0.0,128.0,0.0,"(40.827080, -73.829211)"
Bronx,10465,X192,Public School,No,123.0,0.0,123.0,0.0,"(40.826794, -73.818083)"
Bronx,10465,X953,Public School,No,22.0,0.0,22.0,0.0,"(40.831829, -73.827642)"
Bronx,10466,X021,Public School,No,67.0,0.0,67.0,0.0,"(40.887888, -73.85942)"
Bronx,10466,X068,Public School,No,118.0,0.0,118.0,0.0,"(40.891603, -73.83888)"
Bronx,10466,X087,Public School,No,47.0,0.0,47.0,0.0,"(40.895741, -73.846198)"
Bronx,10466,X103,Public School,No,77.0,0.0,77.0,0.0,"(40.892198, -73.86194)"
Bronx,10466,X111,Public School,No,156.0,0.0,156.0,0.0,"(40.884371, -73.839288)"
Bronx,10466,X112,Public School,No,124.0,0.0,124.0,0.0,"(40.88494, -73.843977)"
Bronx,10466,X142,Public School,No,74.0,0.0,74.0,0.0,"(40.886002, -73.839682)"
Bronx,10466,X169,Public School,No,91.0,0.0,91.0,0.0,"(40.881344, -73.839386)"
Bronx,10466,X362,Public School,No,179.0,0.0,179.0,0.0,"(40.888242, -73.852714)"
Bronx,10466,X918,Public School,No,10.0,0.0,10.0,0.0,"(40.891603, -73.83888)"
Bronx,10466,X923,Public School,No,12.0,0.0,12.0,0.0,"(40.892198, -73.861940)"
